date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
3/14/2020 21:53,blacorato,,0,6,34,Something that I think is going overlooked in this whole situation is the role of isolation. This will be a tough time not solely on the illness and lack of entertainment but also that without routines people can fall into serious depressive episodes. Check on your friends,,,,1.23895E+18,https://twitter.com/blacorato/status/1238946492783579136
7/28/2020 20:47,GamesRedDeer,,27,172,426,PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? pic.twitter.com/45a6EF3ixr,,,,1.28821E+18,https://twitter.com/GamesRedDeer/status/1288214494167158784
3/14/2020 18:23,lrhoran22,,1,0,0,Considering this is a world pandemic. This is crazy for the whole world and it affects us all different but for me it’s taken any healing I had already done and caused me to go into a complete depressive state. Packing my room is going to be the worst time for me.,,,,1.23889E+18,https://twitter.com/lrhoran22/status/1238893569521463297
3/14/2020 16:25,kudzuplanet,bdscientist,0,0,1,I switch between Cold Case and GBBO. I feel manic depressive lol.,,,,1.23886E+18,https://twitter.com/kudzuplanet/status/1238863761504681986
3/14/2020 12:17,frauglet,,1,0,3,i know remission is a thing but i have persistent depressive disorder which means i am constantly in a state of depression and i’m not really sure how i can ever be happy with a mood disorder like that.,,,,1.2388E+18,https://twitter.com/frauglet/status/1238801503009124352
3/14/2020 8:29,Galsina_latimer,prince_scarf,0,0,0,As I was reading the latest things that Price Harry has said...sudentley I realied that is like I am hearing my brother who is an Pquisofrenic Border Line Manico Depressive... It is incredible the similarities... https://twitter.com/prince_scarf/status/1237571177238781953 …,,,,1.23874E+18,https://twitter.com/Galsina_latimer/status/1238743950728536064
3/14/2020 6:43,beka_bugg,,0,0,3,that’s all of my tweets for the month before i disappear for a while and then come back in a few weeks in another depressive state to rant thanks for tuning in goodnight,,,,1.23872E+18,https://twitter.com/beka_bugg/status/1238717299693170688
3/14/2020 6:29,sausagecan,FizzySodaWave,0,0,2,My depressive episode this week https://twitter.com/FizzySodaWave/status/1238492663831318528 …,,,,1.23871E+18,https://twitter.com/sausagecan/status/1238713942635134976
3/14/2020 4:23,hoyingfan,SheaSerrano,0,0,2,"My mom passed away in Jan—it'd been a rough 2 years without a break. Had a vacation scheduled for May, but COVID19. This week has been a long depressive freakout, but taking part in this thread felt good. WE'RE IN THIS TOGETHER. Solidarity! https://twitter.com/SheaSerrano/status/1238326678260195328 …",,,,1.23868E+18,https://twitter.com/hoyingfan/status/1238682030352879617
3/14/2020 4:22,adrianaa_mel,,0,4,8,"Oooooooooo if this spring break gets extended imma have a really bad depressive episode, feel it coming.",,,,1.23868E+18,https://twitter.com/adrianaa_mel/status/1238681967966785536
